['1', '1', '8', '18', '3', '1']
['2', '1', '9', '25', '1', '1']
['2', '1', '9', '25', '4', '1']
['2', '2', '9', '24', '4', '1']
['2', '3', '9', '22', '2', '1']
['3', '1', '13', '26', '4', '2']
['3', '1', '13', '26', '1', '2']
['3', '2', '13', '11', '3', '3']
['4', '1', '6', '14', '3', '1']
['4', '2', '6', '19', '4', '1']
['5', '1', '9', '22', '2', '2']
['5', '1', '9', '22', '3', '2']
['5', '2', '9', '25', '2', '1']
['6', '1', '10', '16', '4', '1']
['6', '2', '10', '7', '4', '1']
['6', '2', '10', '7', '2', '1']
['6', '2', '10', '7', '3', '1']
['6', '3', '10', '21', '2', '1']
['6', '3', '10', '21', '1', '1']
['7', '1', '12', '19', '3', '1']
['7', '1', '12', '19', '2', '1']
['7', '1', '12', '19', '4', '1']
['7', '2', '13', '2', '1', '1']
['7', '2', '13', '13', '3', '1']
['7', '2', '13', '13', '1', '1']
['7', '3', '13', '23', '4', '3']
['8', '1', '13', '25', '1', '1']
['8', '1', '13', '25', '2', '1']
['8', '1', '13', '25', '3', '1']
['8', '2', '13', '7', '2', '1']
['8', '2', '13', '1', '1', '1']
['8', '3', '13', '24', '1', '3']
